Country/Region,Province/State,Lat,Long,TotalConfirmed,TotalDeaths,TotalRecovered,TotalPopulation,
Qatar,NA,25.3548,51.1839,128992,222,126006,2832067,
Romania,NA,45.9432,24.9668,172516,5749,127076,19356544,
Russia,NA,61.52401,105.318756,1361317,23580,1051780,146700000,
Rwanda,NA,-1.9403,29.8739,4965,34,4664,12626950,
San Marino,NA,43.9424,12.4578,759,42,685,33860,
Sao Tome and Principe,NA,0.1864,6.6131,932,15,896,215056,
Saudi Arabia,NA,23.885942,45.079162,341495,5144,327795,34268528,
Senegal,NA,14.4974,-14.4524,15368,317,13704,16296364,
Serbia,NA,44.0165,21.0059,35719,772,0,6944975,
Seychelles,NA,-4.6796,55.492,149,0,148,97625,
Sierra Leone,NA,8.460555,-11.779889,2325,73,1750,7813215,
Singapore,NA,1.2833,103.8333,57901,28,57784,5703569,
Slovakia,NA,48.669,19.699,26300,71,7182,5450000,
Slovenia,NA,46.1512,14.9955,11517,180,5924,2087946,
Solomon Islands,NA,-9.6457,160.1562,3,0,0,669823,
Somalia,NA,5.152149,46.199616,3864,99,3089,15442905,
South Africa,NA,-30.5595,22.9375,700203,18370,629260,58558270,
South Sudan,NA,6.877,31.307,2817,55,1290,11062113,
Spain,NA,40.463667,-3.74922,936560,33775,150376,47076781,
Sri Lanka,NA,7.873054,80.771797,5354,13,3385,21803000,
Sudan,NA,12.8628,30.2176,13691,836,6764,42813238,
Suriname,NA,3.9193,-56.0278,5113,109,4921,581372,
Sweden,NA,60.128161,18.643501,103200,5918,0,10285453,
Switzerland,NA,46.8182,8.2275,74422,2122,50500,8574832,
Syria,NA,34.802075,38.996815,4987,241,NA,17500658,
Taiwan,NA,23.7,121,535,7,491,23773876,
Tajikistan,NA,38.861,71.2761,10414,80,9393,9321018,
Tanzania,NA,-6.369028,34.888822,509,21,183,58005463,
Thailand,NA,15.870032,100.992541,3679,59,3478,69625582,
Timor-Leste,NA,-8.874217,125.727539,29,0,NA,1293119,
Togo,NA,8.6195,0.8248,2027,51,1500,8082366,
Trinidad and Tobago,NA,10.6918,-61.2225,5241,95,3545,1394973,
Tunisia,NA,33.886917,9.537499,34790,512,5032,11694719,
Turkey,NA,38.9637,35.2433,343955,9153,301098,83429615,
Uganda,NA,1.373333,32.290275,10334,96,6901,44269594,
Ukraine,NA,48.3794,31.1656,295227,5551,126721,44385155,
United Arab Emirates,NA,23.424076,53.847818,112849,455,104943,9770529,
United Kingdom,NA,55.3781,-3.436,689257,43429,0,66834405,
United Kingdom,Falkland Islands (Malvinas),-51.7963,-59.5236,13,0,13,66834405,
United Kingdom,Isle of Man,54.2361,-4.5481,348,24,319,66834405,
United Kingdom,Gibraltar,36.1408,-5.3536,544,0,441,66834405,
United Kingdom,Anguilla,18.2206,-63.0686,3,0,3,66834405,
United Kingdom,Cayman Islands,19.3133,-81.2546,233,1,212,66834405,
United Kingdom,Turks and Caicos Islands,21.694,-71.7979,697,6,674,66834405,
United Kingdom,Montserrat,16.742498,-62.187366,13,1,12,66834405,
United Kingdom,Channel Islands,49.3723,-2.3644,748,48,649,66834405,
United Kingdom,British Virgin Islands,18.4207,-64.64,71,1,70,66834405,
United Kingdom,Bermuda,32.3078,-64.7505,185,9,172,66834405,
Uruguay,NA,-32.5228,-55.7658,2450,51,2042,3461734,
US,NA,40,-100,8048865,218575,3197539,328200000,
Uzbekistan,NA,41.377491,64.585262,62588,520,59624,33580650,
Venezuela,NA,6.4238,-66.5897,85758,725,78294,28515829,
Vietnam,NA,14.058324,108.277199,1124,35,1031,96462106,
West Bank and Gaza,NA,31.9522,35.2332,46434,402,39921,4685306,
Western Sahara,NA,24.2155,-12.8858,10,1,8,582463,
Yemen,NA,15.552727,48.516388,2055,596,1335,29200000,
Zambia,NA,-13.133897,27.849332,15659,346,14899,17861030,
Zimbabwe,NA,-19.015438,29.154857,8099,231,7673,14645468,
